path,variant,method,num_speculative_tokens,draft_tensor_parallel_size,prompt_lookup_max,workload,concurrency,repeat,success_rate,output_tokens_per_second,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,acceptance_rate,mean_acceptance_length,speedup_vs_baseline
results/smoke-screening-20260913-debug/ngram-n3-3392370/code/c1/repeat-01,ngram-n3,ngram,3,,4,code,1,1,1.0,66.45707028221716,26.481231092475355,27.485086291562762,14.906808968594508,16.291230336450496,0.12729026036644167,1.3804034582132565,0.9425173934606762
results/smoke-screening-20260913-debug/ngram-n3-3392370/code/c8/repeat-01,ngram-n3,ngram,3,,4,code,8,1,1.0,464.29014988769256,39.42043904680759,55.18617081688717,16.042244911203575,17.519956833030054,0.13189760260056888,1.394027676620539,0.8605406425875025
results/smoke-screening-20260913-debug/ngram-n3-3392370/long_context_summarization/c1/repeat-01,ngram-n3,ngram,3,,4,long_context_summarization,1,1,1.0,79.16688596452263,27.737956028431654,28.394636802840978,12.511545461975917,13.099275814807589,0.24777183600713013,1.7433155080213902,1.1269461224377024
results/smoke-screening-20260913-debug/ngram-n3-3392370/long_context_summarization/c8/repeat-01,ngram-n3,ngram,3,,4,long_context_summarization,8,1,1.0,528.7114538584626,41.04452847968787,57.13180947350338,13.36328009518559,14.346185312652047,0.26519253910950663,1.7955776173285198,1.0732122307787237
results/smoke-screening-20260913-debug/ngram-n3-3392370/open_chat/c1/repeat-01,ngram-n3,ngram,3,,4,open_chat,1,1,1.0,63.25262857834419,24.12557799834758,24.604766292031854,16.024629588666592,16.688393220432445,0.1391941391941392,1.4175824175824177,0.9018990371789213
results/smoke-screening-20260913-debug/ngram-n3-3392370/open_chat/c8/repeat-01,ngram-n3,ngram,3,,4,open_chat,8,1,1.0,366.5164195977573,39.53329741489142,48.82720810128376,17.359798584163656,18.245461702878984,0.14015503875968993,1.4204651162790698,0.8486179280505979
results/smoke-screening-20260913-debug/ngram-n3-3403354/code/c1/repeat-02,ngram-n3,ngram,3,,4,code,1,2,1.0,69.08622662889312,24.989409488625824,25.791620346717536,14.480513403515573,15.715686004431358,0.13147410358565736,1.3928571428571428,0.9798050075000314
results/smoke-screening-20260913-debug/ngram-n3-3403354/code/c8/repeat-02,ngram-n3,ngram,3,,4,code,8,2,1.0,480.2821545839667,37.61466150172055,53.58209606492892,15.442115374762983,17.02915777366574,0.13459027097616716,1.401999024865919,0.8901810947937855
results/smoke-screening-20260913-debug/ngram-n3-3403354/long_context_summarization/c1/repeat-02,ngram-n3,ngram,3,,4,long_context_summarization,1,2,1.0,84.54541341799391,26.275590411387384,27.542010857723653,11.689330598269802,12.384350059152235,0.2846441947565543,1.8539325842696628,1.2035098344527293
results/smoke-screening-20260913-debug/ngram-n3-3403354/long_context_summarization/c8/repeat-02,ngram-n3,ngram,3,,4,long_context_summarization,8,2,1.0,539.810297160561,39.19512196443975,56.75843383651227,12.854280021736162,13.501139006613956,0.2763965623081645,1.8291896869244937,1.0957413708084711
results/smoke-screening-20260913-debug/ngram-n3-3403354/open_chat/c1/repeat-02,ngram-n3,ngram,3,,4,open_chat,1,2,1.0,64.32286348214889,25.34669346641749,26.013556553516537,15.694102135157863,16.426353003261248,0.14232209737827714,1.4269662921348314,0.9171591749943986
results/smoke-screening-20260913-debug/ngram-n3-3403354/open_chat/c8/repeat-02,ngram-n3,ngram,3,,4,open_chat,8,2,1.0,372.91561227000153,38.07157545816153,51.61533848149701,17.021577629284337,17.902201187022804,0.13060606060606061,1.3918181818181818,0.863434371015626
